Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,-0.097,-0.025,0.045,-0.068,-0.103,0.608,0.000,0.373,0.023,-0.158,-0.144,0.087
2016,-0.423,-0.061,-0.186,-0.288,-0.109,-0.193,0.055,-0.091,0.016,-0.081,-0.069,0.062
2017,0.216,-0.135,-0.060,0.005,0.005,-0.082,0.001,0.034,0.055,0.118,-0.034,0.309
2018,-0.046,-0.014,0.076,0.250,-0.094,-0.359,0.097,-0.103,0.029,0.009,-0.064,-0.001
2019,-0.041,0.003,-0.013,-0.081,-0.101,-0.159,0.040,-0.024,0.164,-0.101,0.123,0.130
2020,-0.074,-0.012,0.076,0.494,-0.379,-0.086,-0.153,-0.073,0.025,0.055,0.042,0.031
2021,-0.015,0.131,0.028,-0.005,0.005,0.017,0.000,0.067,0.126,-0.014,-0.103,0.070
2022,0.141,0.076,0.041,0.474,0.343,-0.156,0.229,0.180,-0.214,0.517,0.170,0.661
2023,0.573,-0.612,-0.765,-0.176,-0.604,-0.447,-0.125,-0.051,0.022,0.007,0.066,0.369
2024,0.015,0.474,-0.004,-0.128,-0.165,0.016,0.365,0.124,0.617,-0.451,0.279,0.497
2025,0.807,0.944,0.330, , , , , , , , , 